,-277,803,272
7202,258,-453,342
7205,258,-453,342
7207,-285,869,261
7210,-285,869,261
7212,-39,329,267
7215,-39,329,267
7217,-89,-908,199
7220,-89,-908,199
7223,150,-389,316
7225,150,-389,316
7230,-227,910,281
7235,-31,286,261
7240,-127,-916,199
7245,160,-365,319
7250,-305,884,256
7255,-36,325,265
7260,-75,-918,191
7265,161,-401,319
7270,-228,938,274
7275,-56,266,256
7280,-116,-911,189
7285,160,-335,306
7290,-271,894,266
7295,-33,317,270
7300,-78,-917,199
7305,166,-375,314
7310,-231,938,274
7315,-29,317,272
7320,-101,-929,193
7325,175,-322,308
7330,-266,906,265
7335,-30,318,271
7340,-69,-933,195
7345,178,-366,333
7350,-241,967,263
7355,1,255,272
7360,-75,-1002,172
7365,216,-314,347
7370,-249,881,265
7375,38,145,269
7380,15,-1024,162
7385,92,-186,282
7390,-242,952,235
7395,1,-20,206
7400,-29,-1024,156
7405,92,-96,285
7410,-252,907,249
7415,37,-119,198
7420,-4,-1017,154
7425,7,-22,256
7430,-232,920,227
7435,58,-156,183
7440,58,-156,183
7445,-7,-1024,152
7450,30,75,276
7455,-225,891,235
7460,44,-198,173
7465,33,-992,176
7470,-26,85,252
7475,-218,918,234
7480,71,-185,197
7485,-13,-1021,159
7490,-2,84,261
7495,-226,868,229
7500,45,-192,177
7505,1,-951,160
7510,-3,1,254
7515,-213,898,226
7520,27,-92,203
7525,-45,-1024,153
7530,116,-82,287
7535,-246,883,237
7540,34,-69,208
7545,-21,-1018,159
7550,68,-132,271
7555,-235,948,240
7560,39,38,253
7565,-52,-1024,158
7570,196,-197,317
7575,-255,887,256
7580,35,66,259
7585,-68,-995,167
7590,139,-312,282
7595,-229,911,245
7600,-9,124,282
7605,-88,-987,175
7610,187,-391,329
7615,-300,948,243
7620,13,205,289
7625,-21,-997,170
7630,165,-368,316
7635,-275,975,251
7640,28,179,297
7645,-105,-974,173
7650,222,-353,325
7655,-314,931,231
7660,40,87,292
7665,-53,-989,169
7670,148,-246,307
7675,-258,948,260
7680,40,95,267
7685,-75,-1022,167
7690,206,-202,319
7695,-254,901,249
7700,46,17,234
7705,-18,-1024,151
7710,-18,-1024,151
7715,27,-171,260
7720,-218,923,229
7725,13,-67,202
7730,-27,-1024,150
7735,55,-32,284
7740,-272,922,231
7745,43,-140,191
7750,49,-1024,165
7755,-27,45,257
7760,-221,941,244
7765,74,-191,187
7770,0,-1022,170
7775,9,173,267
7780,-202,879,244
7785,94,-296,192
7790,55,-931,211
7795,-71,248,254
7800,-170,903,247
7805,97,-286,222
7810,23,-930,200
7815,-65,310,264
7820,-155,844,233
7825,105,-379,258
7830,82,-872,239
7835,-71,289,238
7840,-165,888,259
7845,103,-324,230
7850,46,-910,227
7855,-66,312,258
7860,-162,829,234
7865,102,-362,258
7870,44,-858,227
7875,-67,273,247
7880,-167,892,253
7885,107,-274,195
